Country;Destination_Airports;Airlines;Tot_Flights
United Arab Emirates;752;111;1494
Afghanistan;43;11;84
Antigua and Barbuda;35;15;69
Anguilla;6;5;12
Albania;36;13;72
Armenia;46;26;92
Netherlands Antilles;101;30;200
Angola;78;19;155
Antarctica;0;0;0
Argentina;255;30;511
American Samoa;1;1;2
Austria;388;72;776
Australia;1113;62;2210
Aruba;44;24;90
Azerbaijan;72;29;145
Bosnia and Herzegovina;23;12;46
Barbados;23;12;46
Bangladesh;104;30;209
Belgium;412;66;822
Burkina Faso;35;15;70
Bulgaria;89;31;178
Bahrain;84;38;170
Burundi;13;10;27
Benin;41;19;80
Bermuda;15;9;30
Brunei;23;8;46
Bolivia;104;14;209
Brazil;1401;52;2797
Bahamas;147;20;295
Bhutan;5;1;10
Bouvet Island;0;0;0
Botswana;22;4;44
Belarus;54;13;108
Belize;83;7;166
Canada;1859;81;3727
Cocos Islands;0;0;0
Congo;109;20;220
Central African Republic;3;3;6
Congo Republic;0;0;0
Switzerland;429;86;855
Cote d'Ivoire;50;25;102
Cook Islands;21;5;41
Chile;157;22;313
Cameroon;72;21;144
China;8248;129;16496
Colombia;361;23;722
Costa Rica;130;22;257
Cuba;96;27;187
Cape Verde;58;12;117
Christmas Island;2;1;4
Cyprus;149;56;303
Czech Republic;192;55;385
Germany;2352;133;4688
Djibouti;23;12;40
Denmark;309;64;618
Dominica;17;7;35
Dominican Republic;164;45;325
Algeria;221;23;442
Ecuador;98;13;198
Estonia;41;16;82
Egypt;307;61;612
Western Sahara;7;3;14
Eritrea;8;3;16
Spain;2531;104;5065
Ethiopia;133;24;269
Finland;219;36;439
Fiji;69;12;134
Falkland Islands;1;1;2
Micronesia;9;1;18
Faroe Islands;4;1;8
France;1930;147;3856
Gabon;25;12;50
United Kingdom;2663;128;5300
Grenada;14;9;29
Georgia;48;27;97
French Guiana;7;5;14
Guernsey;20;4;40
Ghana;64;26;127
Greenland;90;2;179
Gambia;13;9;26
Guinea;18;12;36
Equatorial Guinea;16;9;32
Greece;787;69;1601
South Georgia and South Sandwich Is.;0;0;0
Guatemala;40;16;83
Guinea-Bissau;7;4;14
Guyana;9;5;18
Hong Kong;355;83;710
Heard and McDonald Islands;0;0;0
Honduras;67;13;132
Croatia;204;36;409
Haiti;27;14;54
Hungary;100;40;199
Indonesia;839;54;1675
Ireland;295;28;590
Israel;147;58;292
Isle of Man;11;5;22
India;1508;79;3013
British Indian Ocean Territory;0;0;0
Iraq;76;25;151
Iran;439;28;880
Iceland;53;9;107
Italy;1776;115;3555
Jersey;38;10;76
Jamaica;75;25;147
Jordan;113;38;227
Japan;1296;83;2597
Kenya;201;40;401
Kyrgyzstan;76;16;150
Cambodia;72;30;144
Kiribati;7;3;14
